date,max_temp,min_temp,avg_temp,depart,HDD,CDD,precip,new_snow,snow_depth
2003-03-16,67,43,55,7.6,10,0,0.01,0,0
2003-03-17,63,53,58,10.3,7,0,0.01,0,0
2003-03-18,70,50,60,12,5,0,0,0,0
2003-03-19,50,39,44.5,-3.8,20,0,T,0,0
2003-03-20,51,39,45,-3.7,20,0,1.95,0,0
2003-03-21,58,42,50,1,15,0,0.02,0,0
2003-03-22,67,43,55,5.7,10,0,0,0,0
2003-03-23,65,47,56,6.3,9,0,0,0,0
2003-03-24,67,45,56,6,9,0,0,0,0
2003-03-25,71,46,58.5,8.1,6,0,0,0,0
2003-03-26,76,47,61.5,10.8,3,0,0.43,0,0
2003-03-27,65,41,53,1.9,12,0,0,0,0
2003-03-28,58,44,51,-0.5,14,0,0.05,0,0
2003-03-29,72,53,62.5,10.7,2,0,0.39,0,0
2003-03-30,53,34,43.5,-8.7,21,0,0.47,T,0
2003-03-31,45,31,38,-14.6,27,0,T,T,0
2004-03-01,69,37,53,9.8,12,0,0,0,0
2004-03-02,73,50,61.5,18.1,3,0,0.16,0,0
2004-03-03,67,49,58,14.3,7,0,0,0,0
2004-03-04,61,49,55,11.1,10,0,0.09,0,0
2004-03-05,77,48,62.5,18.3,2,0,T,0,0
2004-03-06,73,50,61.5,17,3,0,0.85,0,0
2004-03-07,60,43,51.5,6.8,13,0,0.15,0,0
2004-03-08,49,36,42.5,-2.5,22,0,T,0,0
2004-03-09,47,31,39,-6.3,26,0,T,0,0
2004-03-10,46,34,40,-5.6,25,0,0.01,T,0
2004-03-11,56,32,44,-1.9,21,0,0,0,0
2004-03-12,50,36,43,-3.2,22,0,0,0,0
2004-03-13,48,31,39.5,-6.9,25,0,0,0,0
2004-03-14,54,34,44,-2.7,21,0,0,0,0
2004-03-15,64,48,56,8.9,9,0,0,0,0
2004-03-16,51,36,43.5,-3.9,21,0,0.38,T,0
2004-03-17,41,34,37.5,-10.2,27,0,0.08,T,0
2004-03-18,49,34,41.5,-6.5,23,0,0.04,0,0
2004-03-19,50,38,44,-4.3,21,0,0.11,0,0
2004-03-20,62,33,47.5,-1.2,17,0,0.01,0,0
2004-03-21,62,33,47.5,-1.5,17,0,T,0,0
2004-03-22,41,28,34.5,-14.8,30,0,0,0,0
2004-03-23,51,26,38.5,-11.2,26,0,0,0,0
2004-03-24,63,34,48.5,-1.5,16,0,0,0,0
2004-03-25,70,47,58.5,8.1,6,0,0.06,0,0
2004-03-26,76,52,64,13.3,1,0,0,0,0
2004-03-27,70,56,63,11.9,2,0,0.09,0,0
2004-03-28,65,45,55,3.5,10,0,0,0,0
2004-03-29,53,40,46.5,-5.3,18,0,0,0,0
2004-03-30,48,38,43,-9.2,22,0,T,0,0
2004-03-31,53,44,48.5,-4.1,16,0,0.06,0,0
2005-03-01,41,30,35.5,-7.7,29,0,T,T,2
2005-03-02,37,27,32,-11.4,33,0,0,0,0
2005-03-03,38,25,31.5,-12.2,33,0,0,0,0
2005-03-04,45,23,34,-9.9,31,0,0,0,0
2005-03-05,47,33,40,-4.2,25,0,0,0,0
2005-03-06,57,29,43,-1.5,22,0,0,0,0
2005-03-07,70,41,55.5,10.8,9,0,0,0,0
2005-03-08,59,24,41.5,-3.5,23,0,0.66,0.8,0
2005-03-09,36,20,28,-17.3,37,0,0,0,1
2005-03-10,43,24,33.5,-12.1,31,0,T,T,0
2005-03-11,53,31,42,-3.9,23,0,0.02,0,0
2005-03-12,52,30,41,-5.2,24,0,0,0,0
2005-03-13,49,38,43.5,-2.9,21,0,0,0,0
2005-03-14,46,33,39.5,-7.2,25,0,0,0,0
2005-03-15,49,30,39.5,-7.6,25,0,0,0,0
2005-03-16,48,36,42,-5.4,23,0,0,0,0
2005-03-17,46,35,40.5,-7.2,24,0,0,0,0
2005-03-18,59,31,45,-3,20,0,0,0,0
2005-03-19,61,37,49,0.7,16,0,T,0,0
2005-03-20,56,44,50,1.3,15,0,0.25,0,0
2005-03-21,54,39,46.5,-2.5,18,0,0,0,0
2005-03-22,58,34,46,-3.3,19,0,0.01,0,0
2005-03-23,47,41,44,-5.7,21,0,1.85,0,0
2005-03-24,49,39,44,-6,21,0,0,0,0
2005-03-25,47,43,45,-5.4,20,0,0.06,0,0
2005-03-26,49,43,46,-4.7,19,0,0,0,0
2005-03-27,48,43,45.5,-5.6,19,0,0.11,0,0
2005-03-28,56,43,49.5,-2,15,0,1.5,0,0
2005-03-29,66,48,57,5.2,8,0,T,0,0
2005-03-30,65,43,54,1.8,11,0,0,0,0
2005-03-31,55,44,49.5,-3.1,15,0,0,0,0
2006-03-01,50,32,41,-2.2,24,0,0,0,0
2006-03-02,50,35,42.5,-0.9,22,0,0.03,0,0
2006-03-03,44,31,37.5,-6.2,27,0,T,T,0
2006-03-04,47,28,37.5,-6.4,27,0,0,0,0
2006-03-05,52,33,42.5,-1.7,22,0,0,0,0
2006-03-06,45,37,41,-3.5,24,0,0,0,0
2006-03-07,50,31,40.5,-4.2,24,0,0,0,0
2006-03-08,52,32,42,-3,23,0,T,0,0
2006-03-09,68,42,55,9.7,10,0,T,0,0
2006-03-10,78,56,67,21.4,0,2,T,0,0
2006-03-11,71,48,59.5,13.6,5,0,T,0,0
2006-03-12,71,54,62.5,16.3,2,0,T,0,0
2006-03-13,85,52,68.5,22.1,0,4,0,0,0
